Id, Region, Country, TotalCases, TotalTests, ActiveCases
3,Europe,France,40044973,271490188,93541
4,Europe,Germany,38417622,122332384,24325
8,Europe,Italy,25828252,272079213,126475
9,Europe,UK,24569895,522526476,2646
10,Europe,Russia,22900755,273400000,178807
12,Europe,Spain,13845825,471036328,43847
17,Europe,Netherlands,8610372,25984435,0
21,Europe,Poland,6515598,38699972,1060073
23,Europe,Austria,6072041,211273524,7491
24,Europe,Greece,6025776,102228365,7232
25,Europe,Portugal,5582987,46082209,5162
26,Europe,Ukraine,5538357,32603805,19743
30,Europe,Belgium,4797108,37018657,9768
33,Europe,Czechia,4641335,57196320,1426
36,Europe,Switzerland,4404327,23833472,4109
39,Europe,Romania,3397365,27242332,7241
40,Europe,Denmark,3181366,129276961,781
42,Europe,Sweden,2708137,19500873,3355
43,Europe,Serbia,2538655,12852191,5444
47,Europe,Hungary,2202179,11394556,3472
49,Europe,Slovakia,1866647,7428816,335
52,Europe,Ireland,1711233,13083449,2300
54,Europe,Norway,1483639,11002430,499
55,Europe,Finland,1477021,12090288,4857
57,Europe,Slovenia,1343626,2847701,8520
58,Europe,Lithuania,1319481,10444610,1431
59,Europe,Bulgaria,1305937,11206260,2200
61,Europe,Croatia,1273256,5588632,479
74,Europe,Belarus,994037,13646641,1327
75,Europe,Latvia,977833,7875439,194
86,Europe,Moldova,620419,3216305,104164
87,Europe,Estonia,618218,3707220,90227
96,Europe,Bosnia and Herzegovina,402890,1884721,7467
98,Europe,North Macedonia,348215,2226216,1471
101,Europe,Albania,334726,1941032,1696
103,Europe,Luxembourg,319959,4587145,2037
105,Europe,Montenegro,291798,2752386,588
114,Europe,Iceland,209191,1996384,-1
127,Europe,Malta,118574,2137285,588
130,Europe,Channel Islands,101717,1252808,168
152,Europe,Andorra,48015,249838,287
162,Europe,Isle of Man,38008,150753,-1
164,Europe,Faeroe Islands,34658,778000,-1
174,Europe,San Marino,24210,196855,72
177,Europe,Liechtenstein,21437,112457,1
178,Europe,Gibraltar,20550,534283,3858
187,Europe,Monaco,16760,78646,701
227,Europe,Vatican City,29,-1,0
234,Europe,France,40044973,271490188,93541
235,Europe,Germany,38417622,122332384,24325
239,Europe,Italy,25828252,272079213,126475
240,Europe,UK,24569895,522526476,2646
241,Europe,Russia,22900755,273400000,178807
243,Europe,Spain,13845825,471036328,43847
248,Europe,Netherlands,8610372,25984435,0
252,Europe,Poland,6515598,38699972,1060073
254,Europe,Austria,6072041,211273524,7491
255,Europe,Greece,6025776,102228365,7232
256,Europe,Portugal,5582987,46082209,5162
257,Europe,Ukraine,5538357,32603805,19743
261,Europe,Belgium,4797108,37018657,9768
264,Europe,Czechia,4641335,57196320,1426
267,Europe,Switzerland,4404327,23833472,4109
270,Europe,Romania,3397365,27242332,7241
271,Europe,Denmark,3181366,129276961,781
273,Europe,Sweden,2708137,19500873,3355
274,Europe,Serbia,2538655,12852191,5444
278,Europe,Hungary,2202179,11394556,3472
280,Europe,Slovakia,1866647,7428816,335
283,Europe,Ireland,1711233,13083449,2300
285,Europe,Norway,1483639,11002430,499
286,Europe,Finland,1477021,12090288,4857
288,Europe,Slovenia,1343626,2847701,8520
289,Europe,Lithuania,1319481,10444610,1431
290,Europe,Bulgaria,1305937,11206260,2200
292,Europe,Croatia,1273256,5588632,479
305,Europe,Belarus,994037,13646641,1327
