Id, Region, Country, TotalCases, TotalTests, ActiveCases
695,Asia,India,44981475,0,14493
699,Asia,Japan,33803572,0,-1
700,Asia,S. Korea,31438960,0,296086
704,Asia,Turkey,17232066,0,-1
706,Asia,Vietnam,11592604,0,916827
708,Asia,Taiwan,10239998,0,0
711,Asia,Iran,7609922,0,121267
713,Asia,Indonesia,6798097,0,16677
721,Asia,Malaysia,5088009,0,21090
722,Asia,Israel,4823329,0,12356
724,Asia,DPRK,4772813,0,0
725,Asia,Thailand,4736356,0,9731
730,Asia,Philippines,4116925,0,15895
734,Asia,Hong Kong,2897432,0,11803
737,Asia,Iraq,2465545,0,673
738,Asia,Singapore,2391248,0,239938
741,Asia,Bangladesh,2038384,0,10490
743,Asia,Georgia,1840187,0,46580
744,Asia,Jordan,1746997,0,1868
746,Asia,Pakistan,1580900,0,11551
749,Asia,Kazakhstan,1411831,0,14963
756,Asia,Lebanon,1237556,0,139055
761,Asia,UAE,1065607,0,11746
765,Asia,Mongolia,1008038,0,45
766,Asia,Nepal,1003236,0,112
769,Asia,Saudi Arabia,841469,0,3900
770,Asia,Azerbaijan,831658,0,98
772,Asia,Bahrain,721162,0,302
773,Asia,Sri Lanka,672293,0,47
774,Asia,Kuwait,665851,0,3044
776,Asia,Cyprus,660854,0,2404
777,Asia,Myanmar,637321,0,1705
778,Asia,Palestine,621008,0,159
783,Asia,Qatar,511144,0,580
788,Asia,Armenia,449062,0,5153
790,Asia,Oman,399449,0,10152
797,Asia,Brunei,292644,0,48818
802,Asia,Uzbekistan,253287,0,10164
805,Asia,Afghanistan,219043,0,16042
806,Asia,Laos,218101,0,-1
808,Asia,Kyrgyzstan,206888,0,7491
812,Asia,Maldives,186589,0,22588
817,Asia,Cambodia,138736,0,1
840,Asia,Bhutan,62668,0,1083
841,Asia,Syria,57577,0,43
868,Asia,Timor-Leste,23433,0,193
876,Asia,Tajikistan,17786,0,397
889,Asia,Yemen,11945,0,662
911,Asia,Macao,3579,0,11
924,Asia,China,503302,0,118977
926,Asia,India,44981475,0,14493
930,Asia,Japan,33803572,0,-1
931,Asia,S. Korea,31438960,0,296086
935,Asia,Turkey,17232066,0,-1
937,Asia,Vietnam,11592604,0,916827
939,Asia,Taiwan,10239998,0,0
942,Asia,Iran,7609922,0,121267
944,Asia,Indonesia,6798097,0,16677
952,Asia,Malaysia,5088009,0,21090
953,Asia,Israel,4823329,0,12356
955,Asia,DPRK,4772813,0,0
956,Asia,Thailand,4736356,0,9731
961,Asia,Philippines,4116925,0,15895
965,Asia,Hong Kong,2897432,0,11803
968,Asia,Iraq,2465545,0,673
969,Asia,Singapore,2391248,0,239938
972,Asia,Bangladesh,2038384,0,10490
974,Asia,Georgia,1840187,0,46580
975,Asia,Jordan,1746997,0,1868
977,Asia,Pakistan,1580900,0,11551
980,Asia,Kazakhstan,1411831,0,14963
987,Asia,Lebanon,1237556,0,139055
992,Asia,UAE,1065607,0,11746
996,Asia,Mongolia,1008038,0,45
997,Asia,Nepal,1003236,0,112
1000,Asia,Saudi Arabia,841469,0,3900
1001,Asia,Azerbaijan,831658,0,98
1003,Asia,Bahrain,721162,0,302
1004,Asia,Sri Lanka,672293,0,47
1005,Asia,Kuwait,665851,0,3044
1007,Asia,Cyprus,660854,0,2404
1008,Asia,Myanmar,637321,0,1705
1009,Asia,Palestine,621008,0,159
1014,Asia,Qatar,511144,0,580
1019,Asia,Armenia,449062,0,5153
1021,Asia,Oman,399449,0,10152
1028,Asia,Brunei,292644,0,48818
1033,Asia,Uzbekistan,253287,0,10164
1036,Asia,Afghanistan,219043,0,16042
1037,Asia,Laos,218101,0,-1
1039,Asia,Kyrgyzstan,206888,0,7491
1043,Asia,Maldives,186589,0,22588
1048,Asia,Cambodia,138736,0,1
1071,Asia,Bhutan,62668,0,1083
1072,Asia,Syria,57577,0,43
1099,Asia,Timor-Leste,23433,0,193
1107,Asia,Tajikistan,17786,0,397
1120,Asia,Yemen,11945,0,662
1142,Asia,Macao,3579,0,11
1155,Asia,China,503302,0,118977
1157,Asia,India,44981475,0,14493
1161,Asia,Japan,33803572,0,-1
1162,Asia,S. Korea,31438960,0,296086
1166,Asia,Turkey,17232066,0,-1
1168,Asia,Vietnam,11592604,0,916827
1170,Asia,Taiwan,10239998,0,0
1173,Asia,Iran,7609922,0,121267
1175,Asia,Indonesia,6798097,0,16677
1183,Asia,Malaysia,5088009,0,21090
1184,Asia,Israel,4823329,0,12356
1186,Asia,DPRK,4772813,0,0
1187,Asia,Thailand,4736356,0,9731
1192,Asia,Philippines,4116925,0,15895
1196,Asia,Hong Kong,2897432,0,11803
1199,Asia,Iraq,2465545,0,673
1200,Asia,Singapore,2391248,0,239938
1203,Asia,Bangladesh,2038384,0,10490
1205,Asia,Georgia,1840187,0,46580
1206,Asia,Jordan,1746997,0,1868
1208,Asia,Pakistan,1580900,0,11551
1211,Asia,Kazakhstan,1411831,0,14963
1218,Asia,Lebanon,1237556,0,139055
1223,Asia,UAE,1065607,0,11746
1227,Asia,Mongolia,1008038,0,45
1228,Asia,Nepal,1003236,0,112
1231,Asia,Saudi Arabia,841469,0,3900
