Id, Region, Country, TotalCases, TotalTests, ActiveCases
696,Europe,France,40045596,0,85269
697,Europe,Germany,38418899,0,25565
701,Europe,Italy,25828252,0,126475
702,Europe,UK,24569895,0,1004
703,Europe,Russia,22900755,0,178807
705,Europe,Spain,13845825,0,43847
710,Europe,Netherlands,8610372,0,0
714,Europe,Poland,6515598,0,1060073
716,Europe,Austria,6072229,0,6932
717,Europe,Greece,6025776,0,6199
718,Europe,Portugal,5582987,0,2195
719,Europe,Ukraine,5538357,0,19743
723,Europe,Belgium,4797108,0,9230
726,Europe,Czechia,4641335,0,1426
729,Europe,Switzerland,4404327,0,4109
732,Europe,Romania,3397365,0,7241
733,Europe,Denmark,3181366,0,786
735,Europe,Sweden,2708137,0,3245
736,Europe,Serbia,2538899,0,5230
740,Europe,Hungary,2202179,0,3472
742,Europe,Slovakia,1866647,0,335
745,Europe,Ireland,1711233,0,2300
747,Europe,Norway,1483639,0,474
748,Europe,Finland,1477021,0,4607
750,Europe,Slovenia,1343626,0,8520
751,Europe,Lithuania,1319481,0,1431
752,Europe,Bulgaria,1306103,0,2129
754,Europe,Croatia,1273508,0,383
767,Europe,Belarus,994037,0,1327
768,Europe,Latvia,977833,0,194
779,Europe,Moldova,620419,0,104164
780,Europe,Estonia,618218,0,90227
789,Europe,Bosnia and Herzegovina,402890,0,7467
791,Europe,North Macedonia,348215,0,1471
794,Europe,Albania,334726,0,1696
796,Europe,Luxembourg,319959,0,2037
798,Europe,Montenegro,291820,0,583
807,Europe,Iceland,209191,0,-1
820,Europe,Malta,118574,0,588
823,Europe,Channel Islands,101717,0,168
845,Europe,Andorra,48015,0,287
855,Europe,Isle of Man,38008,0,-1
857,Europe,Faeroe Islands,34658,0,-1
867,Europe,San Marino,24247,0,24
870,Europe,Liechtenstein,21437,0,1
871,Europe,Gibraltar,20550,0,3858
880,Europe,Monaco,16760,0,701
920,Europe,Vatican City,29,0,0
927,Europe,France,40045596,0,85269
928,Europe,Germany,38418899,0,25565
932,Europe,Italy,25828252,0,126475
933,Europe,UK,24569895,0,1004
934,Europe,Russia,22900755,0,178807
936,Europe,Spain,13845825,0,43847
941,Europe,Netherlands,8610372,0,0
945,Europe,Poland,6515598,0,1060073
947,Europe,Austria,6072229,0,6932
948,Europe,Greece,6025776,0,6199
949,Europe,Portugal,5582987,0,2195
950,Europe,Ukraine,5538357,0,19743
954,Europe,Belgium,4797108,0,9230
957,Europe,Czechia,4641335,0,1426
960,Europe,Switzerland,4404327,0,4109
963,Europe,Romania,3397365,0,7241
964,Europe,Denmark,3181366,0,786
966,Europe,Sweden,2708137,0,3245
967,Europe,Serbia,2538899,0,5230
971,Europe,Hungary,2202179,0,3472
973,Europe,Slovakia,1866647,0,335
976,Europe,Ireland,1711233,0,2300
978,Europe,Norway,1483639,0,474
979,Europe,Finland,1477021,0,4607
981,Europe,Slovenia,1343626,0,8520
982,Europe,Lithuania,1319481,0,1431
983,Europe,Bulgaria,1306103,0,2129
985,Europe,Croatia,1273508,0,383
998,Europe,Belarus,994037,0,1327
999,Europe,Latvia,977833,0,194
1010,Europe,Moldova,620419,0,104164
1011,Europe,Estonia,618218,0,90227
1020,Europe,Bosnia and Herzegovina,402890,0,7467
1022,Europe,North Macedonia,348215,0,1471
1025,Europe,Albania,334726,0,1696
1027,Europe,Luxembourg,319959,0,2037
1029,Europe,Montenegro,291820,0,583
1038,Europe,Iceland,209191,0,-1
1051,Europe,Malta,118574,0,588
1054,Europe,Channel Islands,101717,0,168
1076,Europe,Andorra,48015,0,287
1086,Europe,Isle of Man,38008,0,-1
1088,Europe,Faeroe Islands,34658,0,-1
1098,Europe,San Marino,24247,0,24
1101,Europe,Liechtenstein,21437,0,1
1102,Europe,Gibraltar,20550,0,3858
1111,Europe,Monaco,16760,0,701
1151,Europe,Vatican City,29,0,0
1158,Europe,France,40045596,0,85269
1159,Europe,Germany,38418899,0,25565
1163,Europe,Italy,25828252,0,126475
1164,Europe,UK,24569895,0,1004
1165,Europe,Russia,22900755,0,178807
1167,Europe,Spain,13845825,0,43847
1172,Europe,Netherlands,8610372,0,0
1176,Europe,Poland,6515598,0,1060073
1178,Europe,Austria,6072229,0,6932
1179,Europe,Greece,6025776,0,6199
1180,Europe,Portugal,5582987,0,2195
1181,Europe,Ukraine,5538357,0,19743
1185,Europe,Belgium,4797108,0,9230
1188,Europe,Czechia,4641335,0,1426
1191,Europe,Switzerland,4404327,0,4109
1194,Europe,Romania,3397365,0,7241
1195,Europe,Denmark,3181366,0,786
1197,Europe,Sweden,2708137,0,3245
1198,Europe,Serbia,2538899,0,5230
1202,Europe,Hungary,2202179,0,3472
1204,Europe,Slovakia,1866647,0,335
1207,Europe,Ireland,1711233,0,2300
1209,Europe,Norway,1483639,0,474
1210,Europe,Finland,1477021,0,4607
1212,Europe,Slovenia,1343626,0,8520
1213,Europe,Lithuania,1319481,0,1431
1214,Europe,Bulgaria,1306103,0,2129
1216,Europe,Croatia,1273508,0,383
1229,Europe,Belarus,994037,0,1327
1230,Europe,Latvia,977833,0,194
1241,Europe,Moldova,620419,0,104164
1242,Europe,Estonia,618218,0,90227
1251,Europe,Bosnia and Herzegovina,402890,0,7467
1253,Europe,North Macedonia,348215,0,1471
1256,Europe,Albania,334726,0,1696
1258,Europe,Luxembourg,319959,0,2037
1260,Europe,Montenegro,291820,0,583
1269,Europe,Iceland,209191,0,-1
1282,Europe,Malta,118574,0,588
1285,Europe,Channel Islands,101717,0,168
1307,Europe,Andorra,48015,0,287
1317,Europe,Isle of Man,38008,0,-1
1319,Europe,Faeroe Islands,34658,0,-1
1329,Europe,San Marino,24247,0,24
1332,Europe,Liechtenstein,21437,0,1
1333,Europe,Gibraltar,20550,0,3858
1342,Europe,Monaco,16760,0,701
1382,Europe,Vatican City,29,0,0
1389,Europe,France,40045596,0,85269
1390,Europe,Germany,38418899,0,25565
1394,Europe,Italy,25828252,0,126475
1395,Europe,UK,24569895,0,1004
1396,Europe,Russia,22900755,0,178807
1398,Europe,Spain,13845825,0,43847
1403,Europe,Netherlands,8610372,0,0
1407,Europe,Poland,6515598,0,1060073
1409,Europe,Austria,6072229,0,6932
1410,Europe,Greece,6025776,0,6199
1411,Europe,Portugal,5582987,0,2195
1412,Europe,Ukraine,5538357,0,19743
1416,Europe,Belgium,4797108,0,9230
1419,Europe,Czechia,4641335,0,1426
1422,Europe,Switzerland,4404327,0,4109
1425,Europe,Romania,3397365,0,7241
1426,Europe,Denmark,3181366,0,786
1428,Europe,Sweden,2708137,0,3245
1429,Europe,Serbia,2538899,0,5230
1433,Europe,Hungary,2202179,0,3472
1435,Europe,Slovakia,1866647,0,335
1438,Europe,Ireland,1711233,0,2300
1440,Europe,Norway,1483639,0,474
1441,Europe,Finland,1477021,0,4607
