Region,Country,Total Cases,Total Tests,Active Cases
North America,USA,106819806,851730,1179234024
Asia,India,44981475,14493,928612551
Europe,France,40045596,85269,271490188
Europe,Germany,38418899,25565,122332384
South America,Brazil,37511921,560644,63776166
Asia,Japan,33803572,-1,100414883
Asia,S. Korea,31438960,296086,15804065
Europe,Italy,25828252,126475,272079213
Europe,UK,24569895,1004,522526476
Europe,Russia,22900755,178807,273400000
Asia,Turkey,17232066,-1,162743369
Europe,Spain,13845825,43847,471036328
Asia,Vietnam,11592604,916827,85826548
Australia/Oceania,Australia,11505229,29729,81901821
Asia,Taiwan,10239998,0,30742304
South America,Argentina,10044957,0,35716069
Europe,Netherlands,8610372,0,25984435
Asia,Iran,7609922,121267,55353767
North America,Mexico,7600278,419116,19971611
Asia,Indonesia,6798097,16677,114158919
Europe,Poland,6515598,1060073,38699972
South America,Colombia,6365994,35303,36951507
Europe,Austria,6072229,6932,211273524
Europe,Greece,6025776,6199,102228365
Europe,Portugal,5582987,2195,46082209
Europe,Ukraine,5538357,19743,32603805
South America,Chile,5286279,374,49544467
Asia,Malaysia,5088009,21090,68352292
Asia,Israel,4823329,12356,41373364
Europe,Belgium,4797108,9230,37018657
Asia,DPRK,4772813,0,-1
Asia,Thailand,4736356,9731,17270775
Europe,Czechia,4641335,1426,57196320
North America,Canada,4641301,0,66343123
South America,Peru,4503222,433,38548796
Europe,Switzerland,4404327,4109,23833472
Asia,Philippines,4116925,15895,35133100
Africa,South Africa,4076463,61362,26795090
Europe,Romania,3397365,7241,27242332
Europe,Denmark,3181366,786,129276961
Asia,Hong Kong,2897432,11803,76127725
Europe,Sweden,2708137,3245,19500873
Europe,Serbia,2538899,5230,12858629
Asia,Iraq,2465545,673,19544451
Asia,Singapore,2391248,239938,24756666
Australia/Oceania,New Zealand,2348074,10286,7768604
Europe,Hungary,2202179,3472,11394556
Asia,Bangladesh,2038384,10490,15254399
Europe,Slovakia,1866647,335,7428816
Asia,Georgia,1840187,46580,16920079
Asia,Jordan,1746997,1868,17201885
Europe,Ireland,1711233,2300,13083449
Asia,Pakistan,1580900,11551,30571377
Europe,Norway,1483639,474,11002430
Europe,Finland,1477021,4607,12090288
Asia,Kazakhstan,1411831,14963,11575012
Europe,Slovenia,1343626,8520,2847701
Europe,Lithuania,1319481,1431,10444610
Europe,Bulgaria,1306103,2129,11209774
Africa,Morocco,1273832,1384,13001033
Europe,Croatia,1273508,383,5588632
North America,Guatemala,1250304,1764,7282806
Asia,Lebanon,1237556,139055,4795578
North America,Costa Rica,1229587,359514,4659757
South America,Bolivia,1198050,8491,2705422
Africa,Tunisia,1153063,-1,5011219
North America,Cuba,1113653,151,14345279
Asia,UAE,1065607,11746,200615238
South America,Ecuador,1061100,0,3082403
North America,Panama,1037978,583,7671671
South America,Uruguay,1037893,433,6114822
Asia,Mongolia,1008038,45,4030048
Asia,Nepal,1003236,112,6040923
Europe,Belarus,994037,1327,13646641
Europe,Latvia,977833,194,7875439
Asia,Saudi Arabia,841469,3900,45481735
Asia,Azerbaijan,831658,98,7604359
South America,Paraguay,810170,-1,2657506
Asia,Bahrain,721162,302,10840228
Asia,Sri Lanka,672293,47,6486117
Asia,Kuwait,665851,3044,8455743
North America,Dominican Republic,661103,11934,3740928
Asia,Cyprus,660854,2404,9640118
Asia,Myanmar,637321,1705,10519883
